Time (Sec);S100;S1;S10;S11;S2;S3;S4;S5;S6;S7;S8;S9;S12;S13;S0;
140.60000000000056;100.0;99.92959999999766;99.92959999999766;99.90260479999766;99.92959999999766;99.89076479999765;99.92959999999766;99.90355199999766;99.92959999999766;99.92959999999766;99.92959999999766;99.92959999999766;99.92959999999766;99.90260479999766;99.89076479999765;
140.80000000000055;100.0;99.92949999999766;99.92949999999766;99.90250479999766;99.92949999999766;99.89066479999765;99.92949999999766;99.90345199999766;99.92949999999766;99.92949999999766;99.92949999999766;99.92949999999766;99.92949999999766;99.90250479999766;99.89066479999765;
141.00000000000054;100.0;99.92939999999766;99.92939999999766;99.90240479999765;99.92939999999766;99.89056479999765;99.92939999999766;99.90335199999765;99.92939999999766;99.92939999999766;99.92939999999766;99.92939999999766;99.92939999999766;99.90240479999765;99.89056479999765;
141.00000000000054;100.0;99.92939999999766;99.92939999999766;99.90240479999765;99.92939999999766;99.89056479999765;99.92939999999766;99.90335199999765;99.92939999999766;99.92939999999766;99.92939999999766;99.92939999999766;99.92939999999766;99.90240479999765;99.89056479999765;
141.20000000000053;100.0;99.92929999999765;99.92929999999765;99.90230479999765;99.92929999999765;99.89046479999764;99.92929999999765;99.90325199999765;99.92929999999765;99.92929999999765;99.92929999999765;99.92929999999765;99.92929999999765;99.90230479999765;99.89046479999764;
141.40000000000052;100.0;99.92919999999765;99.92919999999765;99.90220479999765;99.92919999999765;99.89036479999764;99.92919999999765;99.90315199999765;99.92919999999765;99.92919999999765;99.92919999999765;99.92919999999765;99.92919999999765;99.90220479999765;99.89036479999764;
141.6000000000005;100.0;99.92909999999765;99.92909999999765;99.90210479999764;99.92909999999765;99.89026479999764;99.92909999999765;99.90305199999764;99.92909999999765;99.92909999999765;99.92909999999765;99.92909999999765;99.92909999999765;99.90210479999764;99.89026479999764;
141.8000000000005;100.0;99.92899999999764;99.92899999999764;99.90200479999764;99.92899999999764;99.89016479999763;99.92899999999764;99.90295199999764;99.92899999999764;99.92899999999764;99.92899999999764;99.92899999999764;99.92899999999764;99.90200479999764;99.89016479999763;
142.00000000000048;100.0;99.92889999999764;99.92889999999764;99.90190479999764;99.92889999999764;99.89006479999763;99.92889999999764;99.90285199999764;99.92889999999764;99.92889999999764;99.92889999999764;99.92889999999764;99.92889999999764;99.90190479999764;99.89006479999763;
142.00000000000048;100.0;99.92889999999764;99.92889999999764;99.90190479999764;99.92889999999764;99.89006479999763;99.92889999999764;99.90285199999764;99.92889999999764;99.92889999999764;99.92889999999764;99.92889999999764;99.92889999999764;99.90190479999764;99.89006479999763;
142.20000000000047;100.0;99.92879999999764;99.92879999999764;99.90180479999763;99.92879999999764;99.88996479999763;99.92879999999764;99.90275199999763;99.92879999999764;99.92879999999764;99.92879999999764;99.92879999999764;99.92879999999764;99.90180479999763;99.88996479999763;
